t,fps,top_emotion,prob_Anger,prob_Contempt,prob_Disgust,prob_Fear,prob_Happiness,prob_Neutral,prob_Sadness,prob_Surprise,nose_x,nose_y,left_shoulder_z,left_shoulder_vis
0.5281457901000977,1.8934130032494825,Neutral,14.100019633769989,6.917426735162735,17.21055656671524,2.5896036997437477,3.8655471056699753,40.172624588012695,7.954753190279007,7.189474254846573,0.63833087682724,0.9791532158851624,-0.7519416809082031,0.35349830985069275
1.7337377071380615,0.5767881837573623,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6367713809013367,0.9796513915061951,-0.821027398109436,0.3427402973175049
1.905353307723999,0.5248367697000822,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6368222236633301,0.9880937337875366,-0.7690329551696777,0.33939942717552185
2.0717952251434326,0.4826729520326107,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6354875564575195,0.990410566329956,-0.865555465221405,0.32922089099884033
2.2082712650299072,0.452842711397481,Neutral,2.8451289981603622,1.1880001984536648,0.3017595736309886,5.767418816685677,0.5664071068167686,48.46583306789398,21.96141481399536,18.904030323028564,0.6368011236190796,0.9963898062705994,-1.1961727142333984,0.341767817735672
2.3458030223846436,0.4262930707158746,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6226397752761841,0.999770998954773,-1.1449182033538818,0.33864837884902954
2.484340190887451,0.40252120106046385,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.623145341873169,1.0002037286758423,-1.0449423789978027,0.36481618881225586
2.5970354080200195,0.3850542860746415,Neutral,2.3597868159413338,1.4366132207214832,0.5003707017749548,27.12990641593933,0.4468431696295738,28.855428099632263,11.68791577219963,27.583137154579163,0.6260215640068054,1.0000314712524414,-1.0162861347198486,0.3552139401435852
2.7444686889648438,0.36436911801972893,Neutral,12.055982649326324,8.294779807329178,3.9334334433078766,6.206307932734489,2.964872308075428,37.12683618068695,5.9616368263959885,23.456144332885742,0.6329783201217651,0.9988512396812439,-0.6874345541000366,0.3453291058540344
2.8810184001922607,0.34709936348684994,Neutral,4.725449904799461,1.7988108098506927,0.41432613506913185,11.082850396633148,0.5307847168296576,40.88425636291504,17.65943169593811,22.90409356355667,0.6313024759292603,0.9986966252326965,-0.5495008230209351,0.34742501378059387
3.0335018634796143,0.32965190573545017,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6685410141944885,0.9972646236419678,-0.2000892609357834,0.3681875765323639
3.144131660461426,0.3180527375881278,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6659082174301147,1.0001170635223389,-0.43395310640335083,0.3857826888561249
3.2528464794158936,0.3074229598307412,Neutral,19.133511185646057,9.785200655460358,12.813477218151093,3.476973995566368,2.986621670424938,36.20065450668335,5.311378464102745,10.292179882526398,0.6660531759262085,1.0003032684326172,-0.5415088534355164,0.3888530135154724
3.367384910583496,0.2969662600467201,Neutral,18.769975006580353,10.37464514374733,10.857642441987991,2.608850412070751,4.032269865274429,38.6997252702713,4.062684252858162,10.594207048416138,0.6643332242965698,1.0005786418914795,-0.5530548095703125,0.3878094255924225
3.541801691055298,0.2823420972956698,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6459938287734985,1.0012530088424683,-0.4882725775241852,0.39092499017715454
3.6564183235168457,0.273491607914973,Neutral,23.725804686546326,7.534261047840118,11.173085123300552,2.6547960937023163,1.4141394756734371,34.869736433029175,7.102389633655548,11.525789648294449,0.6107804179191589,0.9988712668418884,-0.6852671504020691,0.38788753747940063
3.7936811447143555,0.2635961479780997,Neutral,14.323069155216217,7.753196358680725,10.771752148866653,3.706125169992447,2.209452912211418,41.994231939315796,6.688356399536133,12.553812563419342,0.6464827060699463,0.9955400228500366,-0.4231451451778412,0.40376242995262146
3.9461710453033447,0.2534101373482132,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6503984928131104,0.9926766753196716,-0.4836118221282959,0.40998658537864685
4.090686321258545,0.24445769658394204,Neutral,19.087395071983337,7.953028380870819,12.483185529708862,3.9730343967676163,2.005378343164921,34.9473774433136,7.900895923376083,11.649700254201889,0.5392764210700989,0.9631820321083069,-0.5974024534225464,0.4088711440563202
4.217263698577881,0.23712052040205434,Neutral,19.1908061504364,9.165550768375397,13.70995044708252,2.5351200252771378,1.811784878373146,36.525872349739075,4.085183143615723,12.975730001926422,0.4784964621067047,0.9626275300979614,-0.8172758221626282,0.44036513566970825
4.3488240242004395,0.22994716835816054,Neutral,17.816346883773804,10.332133620977402,15.517531335353851,2.7726996690034866,3.4963157027959824,34.08629596233368,6.079960986971855,9.898717701435089,0.6090390086174011,0.9748481512069702,-0.6266318559646606,0.4524192810058594
4.484370708465576,0.22299667935916298,Neutral,16.78595095872879,7.004217803478241,13.117009401321411,2.056240290403366,2.070864476263523,41.57320857048035,6.475722044706345,10.916785150766373,0.6102561354637146,0.9860386252403259,-0.7130942940711975,0.4413730502128601
4.652822256088257,0.2149232723790855,Neutral,19.28308457136154,9.410733729600906,14.254754781723022,2.8664352372288704,2.6640355587005615,35.42815148830414,7.311925292015076,8.78087729215622,0.620097279548645,0.9871035814285278,-0.6479259133338928,0.43515291810035706
4.787370920181274,0.20888287283143334,Neutral,14.813178777694702,8.813050389289856,9.514487534761429,2.4573389440774918,2.0171338692307472,45.97044587135315,5.096818879246712,11.317547410726547,0.48060911893844604,0.9751474857330322,-0.8796631693840027,0.45436349511146545
