t,fps,top_emotion,prob_Anger,prob_Contempt,prob_Disgust,prob_Fear,prob_Happiness,prob_Neutral,prob_Sadness,prob_Surprise,nose_x,nose_y,nose_vis,left_shoulder_z,left_shoulder_vis,right_shoulder_z,right_shoulder_vis
0.10157918930053711,9.74856602804877,Neutral,5.012176185846329,2.369438298046589,0.13425714569166303,0.14526608865708113,0.2155374502763152,56.07661008834839,35.55091619491577,0.49580326303839684,0.49581965804100037,0.7352259755134583,0.9924353361129761,-0.6911721229553223,0.942242443561554,-0.4488886892795563,0.9558862447738647
0.24210882186889648,8.193067275029248,Neutral,4.640660434961319,2.1008729934692383,0.12902985326945782,0.246580527164042,0.34105260856449604,47.44496047496796,43.80805492401123,1.2887883931398392,0.5003016591072083,0.7349424362182617,0.9928134679794312,-0.6479251980781555,0.9437693953514099,-0.45287519693374634,0.9578975439071655
0.3906128406524658,7.621702572068277,Neutral,3.4400250762701035,2.285153977572918,0.09353855275548995,0.20316801965236664,0.445356173440814,51.16869807243347,41.16235077381134,1.2017055414617062,0.5046083927154541,0.7209205031394958,0.9931915402412415,-0.6220391988754272,0.9444504976272583,-0.43784865736961365,0.9576905369758606
0.5202116966247559,7.630505053120366,Sadness,3.6915455013513565,2.257726341485977,0.15595884760841727,0.33079267013818026,0.42044459842145443,44.719699025154114,46.84719741344452,1.5766404569149017,0.5053623914718628,0.7149905562400818,0.9933776259422302,-0.6110230088233948,0.944549024105072,-0.4383360743522644,0.9593380689620972
0.6677732467651367,7.431924536299949,Sadness,3.2235682010650635,1.5584001317620277,0.06714145420119166,0.15536691062152386,0.3186724614351988,46.28457725048065,47.325599193573,1.0666859336197376,0.5054097175598145,0.7136378884315491,0.9937034845352173,-0.6135468482971191,0.9444296956062317,-0.4444628655910492,0.9609580039978027
0.8241622447967529,7.227502861767665,Neutral,3.4464985132217407,2.538367733359337,0.056630506878718734,0.10846616933122277,0.3694053506478667,50.91586709022522,41.57489240169525,0.9898685850203037,0.5055450797080994,0.713731586933136,0.9939305186271667,-0.6118501424789429,0.94461590051651,-0.44470691680908203,0.9623754024505615
0.9707236289978027,7.159487397451178,Neutral,4.231856390833855,2.07967609167099,0.08248360827565193,0.13297554105520248,0.39735129103064537,46.605709195137024,45.725783705711365,0.7441570982336998,0.508688747882843,0.7083145976066589,0.9943313598632812,-0.6186673641204834,0.9453298449516296,-0.4380728602409363,0.9622326493263245
1.1152381896972656,7.122264959808884,Neutral,3.5016383975744247,3.1720347702503204,0.09525250061415136,0.16400832682847977,0.4096733406186104,53.73584032058716,37.64379024505615,1.277767214924097,0.5085660219192505,0.7087928652763367,0.9945371747016907,-0.6076918244361877,0.9452974200248718,-0.43410125374794006,0.9632536768913269
1.2737088203430176,7.016401428964409,Neutral,5.888449773192406,2.6411036029458046,0.08270509424619377,0.25204685516655445,0.31904394272714853,54.6065628528595,35.01079976558685,1.1992836371064186,0.5107460618019104,0.7092654705047607,0.9948022365570068,-0.5970757603645325,0.9468095898628235,-0.45148786902427673,0.9647039771080017
1.4152328968048096,7.016397125282981,Neutral,3.2573137432336807,2.6377517729997635,0.0548259646166116,0.16122409142553806,0.43257842771708965,55.35584092140198,37.02489733695984,1.075569074600935,0.5104617476463318,0.7110882997512817,0.9950146675109863,-0.6072899699211121,0.9469348192214966,-0.4572908282279968,0.9655231833457947
1.5736544132232666,6.941576603838466,Neutral,5.009084567427635,4.484157636761665,0.07574319024570286,0.14468047302216291,0.6821293383836746,63.20815086364746,25.27690827846527,1.119143981486559,0.5097529888153076,0.7103172540664673,0.9951416254043579,-0.573623538017273,0.9462698698043823,-0.4025944769382477,0.9654560089111328
1.7142300605773926,6.951564727117669,Neutral,3.810279071331024,2.3982739076018333,0.0244939757976681,0.21677790209650993,0.19772171508520842,54.179757833480835,38.4509801864624,0.7217142730951309,0.5032712817192078,0.7105897665023804,0.9950186610221863,-0.6021802425384521,0.9456458687782288,-0.4063391089439392,0.9660841226577759
1.8696632385253906,6.905111723635898,Neutral,3.0845075845718384,2.788151428103447,0.05101977731101215,0.2815800253301859,0.25157846976071596,61.874425411224365,30.731117725372314,0.9376154281198978,0.4999471604824066,0.7098185420036316,0.9949343204498291,-0.6297327280044556,0.9428737759590149,-0.41159385442733765,0.965189516544342
2.036107063293457,6.8289116459651,Neutral,5.102147161960602,3.5842496901750565,0.05107068573124707,0.2212537918239832,0.5505098029971123,61.08273267745972,28.792473673820496,0.6155623123049736,0.4991205334663391,0.7099351286888123,0.9948030114173889,-0.6524434089660645,0.9403333067893982,-0.4406789243221283,0.964255154132843
2.1945760250091553,6.788632674423523,Neutral,3.8732029497623444,3.358682617545128,0.025247270241379738,0.09342404082417488,0.46417154371738434,57.69616961479187,33.76471996307373,0.7243829313665628,0.49900031089782715,0.7086840867996216,0.9946989417076111,-0.6605209112167358,0.9407532811164856,-0.4520164430141449,0.9649240374565125
2.368058443069458,6.711244871749082,Neutral,3.146680071949959,3.131803125143051,0.03737310762517154,0.22062165662646294,0.5463128909468651,61.254847049713135,30.89393973350525,0.7684279233217239,0.4987870156764984,0.707403838634491,0.9947471618652344,-0.6608133316040039,0.9422279000282288,-0.461394727230072,0.9663684368133545
2.5255165100097656,6.686288931879819,Neutral,4.17582094669342,2.745005674660206,0.03079588059335947,0.1214081421494484,0.3839184995740652,53.68037223815918,38.206470012664795,0.6562089081853628,0.5034397840499878,0.7070618867874146,0.9947400093078613,-0.6533055305480957,0.9419770836830139,-0.46819502115249634,0.9662695527076721
2.6899735927581787,6.64703675402768,Neutral,4.6655721962451935,6.888318061828613,0.1331297098658979,0.0828260148409754,1.4362532645463943,60.5590283870697,25.494283437728882,0.7405870128422976,0.5220882892608643,0.7042405605316162,0.9949732422828674,-0.612648606300354,0.9438725113868713,-0.5178402662277222,0.9668636322021484
2.8533735275268555,6.614738583933129,Neutral,4.1499994695186615,5.3430259227752686,0.023258302826434374,0.08333353907801211,0.7024730090051889,65.47187566757202,23.671060800552368,0.5549713037908077,0.5302644968032837,0.7042074203491211,0.995166003704071,-0.6133373379707336,0.9462606310844421,-0.5400591492652893,0.967602014541626
3.012838840484619,6.594481623297923,Neutral,3.1686916947364807,4.873168841004372,0.0263718276983127,0.06630919524468482,0.9149425663053989,64.37536478042603,26.060214638710022,0.5149390082806349,0.5310887694358826,0.7032536268234253,0.9953437447547913,-0.6101924180984497,0.9478232860565186,-0.5343033075332642,0.9676523804664612
3.154431104660034,6.613275271248024,Neutral,4.144301265478134,8.27954113483429,0.06847365293651819,0.05289099644869566,1.3205630704760551,64.79102373123169,20.888665318489075,0.45453766360878944,0.5321990251541138,0.7004982233047485,0.9954768419265747,-0.5731873512268066,0.9498417973518372,-0.5109177827835083,0.9680637121200562
3.31089448928833,6.600869025619122,Neutral,3.774825856089592,8.32357257604599,0.10256525129079819,0.03670670266728848,1.3859798200428486,65.63781499862671,20.33771127462387,0.400827219709754,0.5358298420906067,0.6997783780097961,0.9956165552139282,-0.5802919268608093,0.9513142108917236,-0.5306228399276733,0.9679278135299683
3.4544365406036377,6.614067498125357,Neutral,3.0653217807412148,5.078832060098648,0.0399060983909294,0.05810307920910418,0.8535346947610378,61.5975558757782,28.74484360218048,0.5618982017040253,0.5358682870864868,0.6982938647270203,0.9957253932952881,-0.5828778147697449,0.9530531764030457,-0.5272682309150696,0.9679697751998901
3.6178157329559326,6.590119259142211,Neutral,3.2482191920280457,5.6624773889780045,0.0736603222321719,0.040485907811671495,0.9328215382993221,63.566696643829346,26.113107800483704,0.3625314449891448,0.5352727174758911,0.6980912089347839,0.9956856369972229,-0.5866702198982239,0.9544371366500854,-0.49887633323669434,0.968609631061554
3.7623860836029053,6.600858599611723,Neutral,3.99789959192276,7.535185664892197,0.1298384740948677,0.05562342703342438,1.3314892537891865,66.41865372657776,20.01553773880005,0.5157697480171919,0.5351583957672119,0.6978281736373901,0.9956159591674805,-0.6090816259384155,0.9544016122817993,-0.5230393409729004,0.9681283235549927
3.9019322395324707,6.619258789223588,Neutral,3.7869710475206375,6.360708922147751,0.10439448524266481,0.05180807784199715,1.1556881479918957,64.97641205787659,23.162738978862762,0.40127583779394627,0.5348807573318481,0.697525143623352,0.9957460761070251,-0.6091044545173645,0.9554821252822876,-0.4990454614162445,0.9690756797790527
4.066401481628418,6.59598139131444,Neutral,4.163258895277977,4.826579615473747,0.034541101194918156,0.07678625406697392,1.1629178188741207,64.92012143135071,24.175241589546204,0.6405464373528957,0.5328992605209351,0.6977164149284363,0.9957039952278137,-0.6270332336425781,0.955268919467926,-0.4992057681083679,0.9694243669509888
4.209893465042114,6.607056130827429,Neutral,3.557581827044487,8.667800575494766,0.06709742010571063,0.07047291146591306,1.398608461022377,67.40840077400208,17.804059386253357,1.0259837843477726,0.5309486389160156,0.6982155442237854,0.9957794547080994,-0.5917392373085022,0.9552437663078308,-0.4829418659210205,0.9702808856964111
4.345440149307251,6.629419768057068,Neutral,5.360076949000359,6.553954631090164,0.09883517632260919,0.1597417052835226,0.7660292088985443,65.15301465988159,21.09691947698593,0.8114193566143513,0.5201212167739868,0.6978853344917297,0.9957860112190247,-0.5961921215057373,0.9542728066444397,-0.4566716253757477,0.9699594378471375
4.47302508354187,6.66218807211338,Neutral,4.514611512422562,4.142649099230766,0.04425169317983091,0.1683986629359424,0.5627922713756561,64.96667861938477,24.868333339691162,0.7322788238525391,0.48698681592941284,0.6947683095932007,0.9949317574501038,-0.6135664582252502,0.9439582228660583,-0.34603747725486755,0.9663829803466797
4.630476474761963,6.650253448202376,Neutral,2.1766573190689087,2.758166380226612,0.025361604639329016,0.1041291980072856,0.816594809293747,57.84425735473633,35.652223229408264,0.6226100493222475,0.474876344203949,0.6931639313697815,0.9942512512207031,-0.614272952079773,0.9381770491600037,-0.31866610050201416,0.9637249112129211
4.756007432937622,6.683364729107532,Neutral,2.6546182110905647,2.9375245794653893,0.018833209469448775,0.09545162320137024,0.7028636056929827,55.4934561252594,37.44065463542938,0.6565980613231659,0.47291597723960876,0.691205620765686,0.9936921000480652,-0.615243673324585,0.9306328892707825,-0.33682045340538025,0.9590994119644165
4.8946006298065186,6.696971300877469,Neutral,3.1488165259361267,3.6395497620105743,0.027246124227531254,0.14439716469496489,0.7116848602890968,69.55561637878418,22.230364382267,0.5423294380307198,0.47308841347694397,0.6898809671401978,0.9932816028594971,-0.600249707698822,0.924330472946167,-0.3298216462135315,0.9566386342048645
5.040123701095581,6.700664391106366,Neutral,2.5888999924063683,4.170617833733559,0.05266353255137801,0.15474995598196983,0.6227327510714531,66.00496172904968,25.261864066123962,1.1435149237513542,0.4706501364707947,0.6905356645584106,0.9927281737327576,-0.6009753942489624,0.9207088947296143,-0.3120694160461426,0.9542966485023499
5.210487365722656,6.672401925646073,Neutral,3.646092489361763,4.425903037190437,0.060885323910042644,0.15538109000772238,0.6379053462296724,61.62038445472717,28.68831157684326,0.7651375606656075,0.46779412031173706,0.6909643411636353,0.9920974969863892,-0.6268814206123352,0.9145045876502991,-0.31804245710372925,0.9524481892585754
5.351076126098633,6.6826603443733985,Neutral,2.736511453986168,3.1554821878671646,0.01953105820575729,0.11624889448285103,0.4141692537814379,57.97230005264282,34.91785526275635,0.6679054815322161,0.4684678912162781,0.6909859776496887,0.9910081028938293,-0.6270391345024109,0.910172164440155,-0.33123499155044556,0.9518371224403381
5.5005645751953125,6.68163765813873,Sadness,4.211943596601486,2.5148117914795876,0.09828569600358605,0.18750892486423254,0.5646516568958759,40.874916315078735,50.77919363975525,0.7686849683523178,0.4688781797885895,0.6908568143844604,0.9906940460205078,-0.6053584218025208,0.9079056978225708,-0.3329017758369446,0.9518179297447205
5.644084215164185,6.6876868700021515,Neutral,4.087580367922783,6.295128911733627,0.09852615185081959,0.19049467518925667,0.7311435416340828,62.74983882904053,24.653106927871704,1.1941798962652683,0.4687013626098633,0.6929552555084229,0.9896997213363647,-0.6397709846496582,0.9079098701477051,-0.3373974561691284,0.9525806307792664
5.7885987758636475,6.6922932583361,Neutral,4.150910675525665,2.8742732480168343,0.018394670041743666,0.10024657240137458,0.4080917686223984,53.63912582397461,38.3444607257843,0.46449797227978706,0.46928200125694275,0.6932839155197144,0.9892662763595581,-0.6307827830314636,0.9072562456130981,-0.33789268136024475,0.9522870779037476
5.932124853134155,6.69778361699992,Neutral,2.8836114332079887,3.7987813353538513,0.05399603978730738,0.130022584926337,0.5149445030838251,64.91199135780334,27.081528306007385,0.6251201964914799,0.46942034363746643,0.6922339200973511,0.9889242053031921,-0.6302766799926758,0.9081496000289917,-0.3461151421070099,0.9527032375335693
6.076653718948364,6.701915780719928,Neutral,3.5572271794080734,4.827181622385979,0.051882362458854914,0.11575809912756085,0.5047939717769623,69.45545673370361,20.99900245666504,0.4887006711214781,0.4741991460323334,0.6923499703407288,0.9889546632766724,-0.6298412680625916,0.9117376804351807,-0.3752715587615967,0.9545604586601257
